date,item_id,store_id,sales
2014-01-01,SKU_A,S1,4
2014-01-01,SKU_A,S2,4
2014-01-01,SKU_B,S1,6
2014-01-01,SKU_B,S2,5
2014-01-01,SKU_C,S1,4
2014-01-01,SKU_C,S2,3
2014-01-02,SKU_A,S1,5
2014-01-02,SKU_A,S2,4
2014-01-02,SKU_B,S1,5
2014-01-02,SKU_B,S2,5
2014-01-02,SKU_C,S1,3
2014-01-02,SKU_C,S2,2
2014-01-03,SKU_A,S1,4
2014-01-03,SKU_A,S2,4
2014-01-03,SKU_B,S1,6
2014-01-03,SKU_B,S2,6
2014-01-03,SKU_C,S1,3
2014-01-03,SKU_C,S2,3
2014-01-04,SKU_A,S1,4
2014-01-04,SKU_A,S2,3
2014-01-04,SKU_B,S1,7
2014-01-04,SKU_B,S2,6
2014-01-04,SKU_C,S1,4
2014-01-04,SKU_C,S2,3
2014-01-05,SKU_A,S1,4
2014-01-05,SKU_A,S2,4
2014-01-05,SKU_B,S1,7
2014-01-05,SKU_B,S2,6
2014-01-05,SKU_C,S1,3
2014-01-05,SKU_C,S2,3
2014-01-06,SKU_A,S1,4
2014-01-06,SKU_A,S2,3
2014-01-06,SKU_B,S1,6
2014-01-06,SKU_B,S2,6
2014-01-06,SKU_C,S1,3
2014-01-06,SKU_C,S2,2
2014-01-07,SKU_A,S1,5
2014-01-07,SKU_A,S2,4
2014-01-07,SKU_B,S1,6
2014-01-07,SKU_B,S2,6
2014-01-07,SKU_C,S1,3
2014-01-07,SKU_C,S2,3
2014-01-08,SKU_A,S1,4
2014-01-08,SKU_A,S2,3
2014-01-08,SKU_B,S1,7
2014-01-08,SKU_B,S2,6
2014-01-08,SKU_C,S1,3
2014-01-08,SKU_C,S2,3
2014-01-09,SKU_A,S1,4
2014-01-09,SKU_A,S2,4
2014-01-09,SKU_B,S1,6
2014-01-09,SKU_B,S2,6
2014-01-09,SKU_C,S1,4
2014-01-09,SKU_C,S2,3
2014-01-10,SKU_A,S1,4
2014-01-10,SKU_A,S2,4
2014-01-10,SKU_B,S1,6
2014-01-10,SKU_B,S2,6
2014-01-10,SKU_C,S1,3
2014-01-10,SKU_C,S2,3
2014-01-11,SKU_A,S1,5
2014-01-11,SKU_A,S2,5
2014-01-11,SKU_B,S1,6
2014-01-11,SKU_B,S2,6
2014-01-11,SKU_C,S1,3
2014-01-11,SKU_C,S2,2
2014-01-12,SKU_A,S1,4
2014-01-12,SKU_A,S2,3
2014-01-12,SKU_B,S1,7
2014-01-12,SKU_B,S2,6
2014-01-12,SKU_C,S1,4
2014-01-12,SKU_C,S2,3
2014-01-13,SKU_A,S1,4
2014-01-13,SKU_A,S2,4
2014-01-13,SKU_B,S1,6
2014-01-13,SKU_B,S2,5
2014-01-13,SKU_C,S1,3
2014-01-13,SKU_C,S2,2
2014-01-14,SKU_A,S1,5
2014-01-14,SKU_A,S2,4
2014-01-14,SKU_B,S1,7
2014-01-14,SKU_B,S2,6
2014-01-14,SKU_C,S1,4
2014-01-14,SKU_C,S2,3
2014-01-15,SKU_A,S1,4
2014-01-15,SKU_A,S2,3
2014-01-15,SKU_B,S1,6
2014-01-15,SKU_B,S2,6
2014-01-15,SKU_C,S1,3
2014-01-15,SKU_C,S2,3
2014-01-16,SKU_A,S1,4
2014-01-16,SKU_A,S2,4
2014-01-16,SKU_B,S1,7
2014-01-16,SKU_B,S2,6
2014-01-16,SKU_C,S1,3
2014-01-16,SKU_C,S2,3
2014-01-17,SKU_A,S1,5
2014-01-17,SKU_A,S2,4
2014-01-17,SKU_B,S1,6
2014-01-17,SKU_B,S2,6
2014-01-17,SKU_C,S1,3
2014-01-17,SKU_C,S2,3
2014-01-18,SKU_A,S1,5
2014-01-18,SKU_A,S2,4
2014-01-18,SKU_B,S1,6
2014-01-18,SKU_B,S2,5
2014-01-18,SKU_C,S1,3
2014-01-18,SKU_C,S2,3
2014-01-19,SKU_A,S1,4
2014-01-19,SKU_A,S2,4
2014-01-19,SKU_B,S1,6
2014-01-19,SKU_B,S2,5
2014-01-19,SKU_C,S1,3
2014-01-19,SKU_C,S2,3
2014-01-20,SKU_A,S1,5
2014-01-20,SKU_A,S2,5
2014-01-20,SKU_B,S1,6
2014-01-20,SKU_B,S2,5
2014-01-20,SKU_C,S1,4
2014-01-20,SKU_C,S2,3
2014-01-21,SKU_A,S1,3
2014-01-21,SKU_A,S2,3
2014-01-21,SKU_B,S1,6
2014-01-21,SKU_B,S2,6
2014-01-21,SKU_C,S1,3
2014-01-21,SKU_C,S2,3
2014-01-22,SKU_A,S1,5
2014-01-22,SKU_A,S2,4
2014-01-22,SKU_B,S1,7
2014-01-22,SKU_B,S2,6
2014-01-22,SKU_C,S1,4
2014-01-22,SKU_C,S2,3
2014-01-23,SKU_A,S1,4
2014-01-23,SKU_A,S2,4
2014-01-23,SKU_B,S1,6
2014-01-23,SKU_B,S2,6
2014-01-23,SKU_C,S1,4
2014-01-23,SKU_C,S2,3
2014-01-24,SKU_A,S1,4
2014-01-24,SKU_A,S2,4
2014-01-24,SKU_B,S1,6
2014-01-24,SKU_B,S2,5
2014-01-24,SKU_C,S1,3
2014-01-24,SKU_C,S2,2
2014-01-25,SKU_A,S1,4
2014-01-25,SKU_A,S2,3
2014-01-25,SKU_B,S1,6
2014-01-25,SKU_B,S2,6
2014-01-25,SKU_C,S1,3
2014-01-25,SKU_C,S2,3
2014-01-26,SKU_A,S1,5
2014-01-26,SKU_A,S2,4
2014-01-26,SKU_B,S1,6
2014-01-26,SKU_B,S2,6
2014-01-26,SKU_C,S1,3
2014-01-26,SKU_C,S2,3
2014-01-27,SKU_A,S1,5
2014-01-27,SKU_A,S2,4
2014-01-27,SKU_B,S1,6
2014-01-27,SKU_B,S2,6
2014-01-27,SKU_C,S1,3
2014-01-27,SKU_C,S2,3
2014-01-28,SKU_A,S1,4
2014-01-28,SKU_A,S2,3
2014-01-28,SKU_B,S1,6
2014-01-28,SKU_B,S2,6
2014-01-28,SKU_C,S1,3
2014-01-28,SKU_C,S2,3
2014-01-29,SKU_A,S1,4
2014-01-29,SKU_A,S2,3
2014-01-29,SKU_B,S1,6
2014-01-29,SKU_B,S2,6
2014-01-29,SKU_C,S1,3
2014-01-29,SKU_C,S2,3
2014-01-30,SKU_A,S1,4
2014-01-30,SKU_A,S2,4
2014-01-30,SKU_B,S1,6
2014-01-30,SKU_B,S2,6
2014-01-30,SKU_C,S1,3
2014-01-30,SKU_C,S2,3
2014-01-31,SKU_A,S1,5
2014-01-31,SKU_A,S2,4
2014-01-31,SKU_B,S1,6
2014-01-31,SKU_B,S2,6
2014-01-31,SKU_C,S1,3
2014-01-31,SKU_C,S2,3
2014-02-01,SKU_A,S1,4
2014-02-01,SKU_A,S2,4
2014-02-01,SKU_B,S1,5
2014-02-01,SKU_B,S2,5
2014-02-01,SKU_C,S1,3
2014-02-01,SKU_C,S2,2
2014-02-02,SKU_A,S1,4
2014-02-02,SKU_A,S2,3
2014-02-02,SKU_B,S1,6
2014-02-02,SKU_B,S2,5
2014-02-02,SKU_C,S1,3
2014-02-02,SKU_C,S2,3
2014-02-03,SKU_A,S1,4
2014-02-03,SKU_A,S2,3
2014-02-03,SKU_B,S1,6
2014-02-03,SKU_B,S2,6
2014-02-03,SKU_C,S1,4
2014-02-03,SKU_C,S2,3
2014-02-04,SKU_A,S1,4
2014-02-04,SKU_A,S2,4
2014-02-04,SKU_B,S1,7
2014-02-04,SKU_B,S2,6
2014-02-04,SKU_C,S1,3
2014-02-04,SKU_C,S2,2
2014-02-05,SKU_A,S1,4
2014-02-05,SKU_A,S2,4
2014-02-05,SKU_B,S1,6
2014-02-05,SKU_B,S2,5
2014-02-05,SKU_C,S1,3
2014-02-05,SKU_C,S2,3
2014-02-06,SKU_A,S1,5
2014-02-06,SKU_A,S2,4
2014-02-06,SKU_B,S1,5
2014-02-06,SKU_B,S2,5
2014-02-06,SKU_C,S1,3
2014-02-06,SKU_C,S2,3
2014-02-07,SKU_A,S1,4
2014-02-07,SKU_A,S2,4
2014-02-07,SKU_B,S1,6
2014-02-07,SKU_B,S2,5
2014-02-07,SKU_C,S1,3
2014-02-07,SKU_C,S2,2
2014-02-08,SKU_A,S1,4
2014-02-08,SKU_A,S2,4
2014-02-08,SKU_B,S1,6
2014-02-08,SKU_B,S2,5
2014-02-08,SKU_C,S1,3
2014-02-08,SKU_C,S2,3
2014-02-09,SKU_A,S1,4
2014-02-09,SKU_A,S2,4
2014-02-09,SKU_B,S1,7
2014-02-09,SKU_B,S2,7
2014-02-09,SKU_C,S1,3
2014-02-09,SKU_C,S2,3
2014-02-10,SKU_A,S1,4
2014-02-10,SKU_A,S2,3
2014-02-10,SKU_B,S1,6
2014-02-10,SKU_B,S2,6
2014-02-10,SKU_C,S1,3
2014-02-10,SKU_C,S2,3
2014-02-11,SKU_A,S1,5
2014-02-11,SKU_A,S2,5
2014-02-11,SKU_B,S1,7
2014-02-11,SKU_B,S2,6
2014-02-11,SKU_C,S1,3
2014-02-11,SKU_C,S2,3
2014-02-12,SKU_A,S1,5
2014-02-12,SKU_A,S2,5
2014-02-12,SKU_B,S1,6
2014-02-12,SKU_B,S2,5
2014-02-12,SKU_C,S1,3
2014-02-12,SKU_C,S2,2
2014-02-13,SKU_A,S1,4
2014-02-13,SKU_A,S2,3
2014-02-13,SKU_B,S1,6
2014-02-13,SKU_B,S2,6
2014-02-13,SKU_C,S1,3
2014-02-13,SKU_C,S2,2
2014-02-14,SKU_A,S1,5
2014-02-14,SKU_A,S2,4
2014-02-14,SKU_B,S1,6
2014-02-14,SKU_B,S2,6
2014-02-14,SKU_C,S1,3
2014-02-14,SKU_C,S2,2
2014-02-15,SKU_A,S1,4
2014-02-15,SKU_A,S2,3
2014-02-15,SKU_B,S1,6
2014-02-15,SKU_B,S2,6
2014-02-15,SKU_C,S1,4
2014-02-15,SKU_C,S2,3
